"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.803770125E0,-1.724158879E-3,7.041134406E-3,-1.756444341E-3
2.813736125E0,1.489449292E-3,9.396428941E-4,-4.026896320E-3
2.823702125E0,8.707968518E-4,5.814026576E-3,-5.674501881E-4
2.833667125E0,1.291832421E-3,2.034940990E-3,1.949853497E-3
2.843633125E0,5.354946479E-4,6.696538068E-3,-5.226253998E-4
2.853599125E0,-1.257202588E-3,2.904365305E-3,-7.193923811E-4
2.863564125E0,5.878354423E-4,9.388363920E-3,-1.570538618E-3
2.873530125E0,1.002782956E-4,1.928207232E-3,-2.963042352E-3
2.883496125E0,-2.343171742E-3,2.078675898E-3,-8.639390580E-4
2.893465708E0,3.018827876E-3,4.786727019E-3,-8.242581971E-4
2.903431708E0,2.108825836E-3,5.091658793E-3,2.146231709E-3
2.913397708E0,-2.758573275E-3,2.778284717E-3,1.105149277E-3
2.923362708E0,1.794100273E-3,4.860877059E-3,-3.902126336E-3
2.933328708E0,8.034864441E-4,1.803656807E-3,5.477113882E-4
2.943294708E0,-7.757684216E-4,1.186602400E-3,2.656826691E-4
2.953259708E0,-1.733796671E-5,4.225842655E-3,-2.824096242E-3
2.963225708E0,-3.201393411E-4,3.908907529E-4,7.938080817E-4
2.973191708E0,8.161365986E-4,2.697571181E-4,-3.736088984E-4
2.983156708E0,6.448952481E-4,2.275117440E-3,2.864528680E-3
2.993122708E0,6.300341338E-4,-1.871523447E-3,4.264561459E-3
3.003088708E0,1.877991483E-3,1.164480345E-3,4.719538847E-4
3.013053708E0,1.564347651E-3,-2.506442368E-3,9.169568657E-4
3.023019708E0,-4.969388247E-4,1.602016157E-3,-3.062329488E-4
3.032984708E0,2.072236035E-3,-1.909852726E-3,-3.859252902E-4
3.042950708E0,-6.907931529E-4,2.244944684E-3,2.093211282E-3
3.052916708E0,-2.665483858E-3,-2.517734887E-3,1.835967298E-3
3.062881708E0,-1.047347207E-3,1.364887576E-3,-6.319839740E-4
3.072847708E0,2.326209797E-3,-3.625676036E-4,-1.703961520E-3
3.082813708E0,1.167201903E-3,-1.492484007E-4,-2.998790238E-3
3.092778708E0,3.016681643E-3,-3.964729141E-3,4.946718458E-3
3.102744708E0,1.765262336E-3,-1.743386500E-3,1.146387425E-3
3.112710708E0,1.136590727E-3,-4.434293136E-3,1.337337540E-3
3.122675708E0,-4.423973151E-4,-1.983717084E-5,1.624958823E-3
3.132641708E0,1.568985172E-4,-1.437250525E-3,-1.947737532E-3
3.142607708E0,1.523708925E-4,6.370856427E-4,7.268750924E-4
3.152572708E0,-2.786487807E-3,1.544225961E-4,4.909378011E-3
3.162538708E0,-2.419576049E-6,4.981135949E-3,2.286164556E-3
3.172504708E0,-5.474048667E-4,-1.901411451E-4,-6.957821897E-4
3.182469708E0,-5.721719936E-4,1.663951669E-3,1.221427461E-3
3.192435708E0,1.579627395E-3,2.560461871E-5,1.188740833E-3
3.202400708E0,-4.370939918E-3,8.999202400E-4,2.321383217E-3
3.212366708E0,-2.760154661E-3,1.867466141E-3,4.432484275E-4
3.222332708E0,-9.127198718E-4,3.605711274E-3,8.427225403E-4
3.232297708E0,1.179100946E-5,1.403947943E-3,3.904557670E-4
3.242263708E0,-8.872919716E-4,1.941640163E-3,-5.320632481E-4
3.252229708E0,1.276880037E-3,2.223954769E-3,3.711345606E-3
3.262194708E0,-1.725301147E-3,2.276418963E-3,1.258573961E-3
3.272160708E0,9.966399521E-4,3.323277459E-3,5.863246042E-4
3.282126708E0,1.471481286E-3,2.413808135E-3,3.413138329E-4
3.292091708E0,-1.854975708E-4,5.307984538E-3,-5.825276021E-4
3.302057708E0,-2.305107657E-3,1.223760657E-3,-1.070951344E-3
3.312023708E0,6.037983112E-4,4.182532430E-3,-5.255857832E-5
3.321988708E0,-1.807161607E-3,-1.853178255E-4,-2.131471701E-4
3.331954708E0,-2.932708710E-3,4.974691197E-3,-6.617624895E-4
3.341920708E0,9.203525260E-4,9.477254935E-4,-1.200786326E-3
3.351885708E0,1.911793370E-3,3.300973214E-3,-1.297924202E-3
3.361851708E0,-1.351120882E-4,2.666608430E-3,6.304706912E-4
3.371817708E0,1.623398159E-3,3.702433081E-3,-2.830044832E-3
3.381782708E0,2.365354681E-3,-5.972406361E-4,-6.502473843E-4
3.391748708E0,-2.955668606E-4,4.195916932E-3,-1.556254807E-3
3.401713708E0,-4.481659271E-4,4.194318783E-3,-3.015933558E-3
3.411679708E0,-2.330453135E-4,5.545459688E-3,-2.397270873E-3
3.421645708E0,-1.473279670E-3,5.044518970E-3,-1.951191225E-3
3.431610708E0,1.620394178E-4,3.952750936E-3,-4.299331049E-4
3.441576708E0,-4.366389476E-4,2.601995599E-3,-2.076033037E-3
3.451542708E0,1.756762620E-3,1.827794826E-3,1.700937748E-3
3.461507708E0,1.615290530E-4,2.410494490E-3,-1.516427146E-3
3.471473708E0,-2.759937197E-4,-1.889001112E-3,1.142262365E-3
3.481439708E0,3.144304035E-3,9.105890058E-5,1.414970029E-3
3.491404708E0,1.346100122E-3,2.300030552E-3,-9.531062096E-5
3.501370708E0,4.359999672E-3,-1.627865713E-3,-1.266835141E-3
3.511336708E0,1.868907828E-3,5.015253555E-3,-2.903199987E-3
3.521301708E0,-6.975806318E-4,-2.127611078E-3,-1.808640780E-3
3.531267708E0,-1.299403608E-3,5.069423933E-3,1.552671660E-3
3.541233708E0,2.284145914E-3,-1.463771332E-4,9.485724149E-5
3.551198708E0,-1.590513159E-3,3.570143133E-3,-1.469685114E-3
3.561164708E0,2.303294837E-3,-2.309850417E-3,-1.266529725E-4
3.571129708E0,5.719568580E-4,3.883134108E-3,-8.830716251E-4
3.581095708E0,5.794134922E-4,-3.689032048E-3,-1.626865414E-4
3.591061708E0,-9.695184417E-4,1.594026573E-3,1.093524508E-3
3.601026708E0,5.948226899E-4,-9.383731522E-4,1.551321940E-3
3.610992708E0,2.215798944E-3,-5.981465802E-5,-9.969909443E-4
3.620958708E0,-2.109441441E-3,-2.010313794E-3,1.633146894E-3
3.630923708E0,1.571961213E-3,-7.656128146E-4,2.954474417E-3
3.640889708E0,-3.239433281E-4,-2.821040340E-3,9.011772927E-4
3.650855708E0,2.316620667E-3,-7.582649123E-4,-7.389296079E-4
3.660820708E0,1.746437512E-3,-4.053926561E-3,-6.443873863E-4
3.670786708E0,2.766055986E-4,-1.634009182E-3,2.754870337E-3
3.680752708E0,1.030546613E-3,4.565722775E-4,1.156174811E-3
3.690717708E0,8.189179935E-4,4.687837791E-4,-9.909280925E-5
3.700683708E0,-2.966499422E-3,-2.603896428E-4,1.053256914E-3
3.710649708E0,-2.784558572E-3,2.924917266E-3,1.067557954E-3
3.720614708E0,-1.613300294E-3,-1.659714617E-3,1.899263123E-3
3.730580708E0,1.023702323E-3,1.121436013E-3,2.075167606E-3
3.740545708E0,1.975898631E-4,-1.068138517E-4,1.492201700E-3
3.750511708E0,-1.820377074E-4,9.796171216E-4,8.440522943E-4
3.760477708E0,5.407440476E-4,2.514929511E-3,4.035654711E-4
3.770442708E0,-2.144137397E-4,3.424072172E-3,1.153911231E-3
