"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.723107708E0,1.957928467E-1,4.415817261E-2,9.851463776E0
3.733073708E0,2.237846375E-1,-1.047821045E-2,9.934541016E0
3.743038708E0,2.040257263E-1,3.038681030E-2,9.899064789E0
3.753004708E0,1.766326904E-1,-1.616638184E-2,9.852661285E0
3.762970708E0,1.957928467E-1,1.107696533E-2,9.827663269E0
3.772935708E0,5.418731689E-2,4.340972900E-3,9.871671753E0
3.782901708E0,2.851570129E-1,3.158432007E-2,9.917326813E0
3.792867708E0,8.741821289E-2,3.592529297E-3,9.972561951E0
3.802832708E0,2.885998535E-1,1.945953369E-2,9.907746735E0
3.812798708E0,4.745132446E-2,-1.407073975E-2,9.864037628E0
3.822763708E0,1.531315613E-1,6.286926270E-3,9.799222412E0
3.832729708E0,6.750961304E-2,1.930984497E-2,9.859397278E0
3.842695708E0,2.219883728E-1,1.347198486E-2,9.915081482E0
3.852660708E0,1.818717957E-1,3.143463135E-3,9.927954712E0
3.862626708E0,2.633024597E-1,3.293151855E-3,9.792486420E0
3.872592708E0,8.981323242E-3,-1.437011719E-2,9.776469727E0
3.882557708E0,7.873626709E-2,2.544708252E-3,9.766739960E0
3.892523333E0,2.487826538E-1,-1.945953369E-3,9.883497162E0
3.902489333E0,2.302212524E-1,2.395019531E-3,9.850415955E0
3.912454333E0,1.059796143E-1,-2.844085693E-3,9.865684204E0
3.922420333E0,1.472937012E-1,7.933502197E-3,9.744885406E0
3.932386333E0,9.804611206E-2,-1.437011719E-2,9.794132996E0
3.942351333E0,1.562750244E-1,2.035766602E-2,9.797426147E0
3.952317333E0,1.130149841E-1,-2.993774414E-3,9.929601288E0
3.962283333E0,2.272274780E-1,1.302291870E-2,9.874066772E0
